language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
-0.388888889,-0.181111111,1,0,0,1.075,de_flag,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,10,1.866,0.437777778,-0.423333333,1,0,0,next_trial_button,0,39,39,61,1,landscape,invisiblesun,yesclouds,7,"500,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,10,1.61,0.472222222,-0.43,1,0,0,next_trial_button,0,40,40,4,1,landscape,invisiblesun,noclouds,0,"1276.9171185127807,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,1,1.877,0.413333333,-0.411111111,1,0,0,next_trial_button,0,41,41,60,1,landscape,invisiblesun,noclouds,7,"666.7268134247564,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,9,1.565,0.42,-0.424444444,1,0,0,next_trial_button,0,42,42,35,1,beach,visiblesun,yesclouds,4,"750,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,6,1.745,0.474444444,-0.414444444,1,0,0,next_trial_button,0,43,43,23,1,landscape,visiblesun,yesclouds,2,"767.97829036635,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,6,1.694,0.464444444,-0.405555556,1,0,0,next_trial_button,0,44,44,58,1,beach,visiblesun,noclouds,7,"1028.5714285714284,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,10,1.698,0.388888889,-0.397777778,1,0,0,next_trial_button,0,45,45,52,1,landscape,invisiblesun,noclouds,6,"666.6666666666666,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,8,1.68,0.344444444,-0.422222222,1,0,0,next_trial_button,0,46,46,75,1,beach,visiblesun,yesclouds,9,"1029.6010296010297,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,7,1.833,0.358888889,-0.412222222,1,0,0,next_trial_button,0,47,47,19,1,beach,visiblesun,yesclouds,2,"770.1393095093882,500",
,,,,,,,de,de,de,x,22,,2021-08-02_22h55.53.864,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",1292,740,1440,900,,,,,,,,5,3.032,0.38,-0.435555556,1,0,0,next_trial_button,0,48,48,17,1,beach,invisiblesun,yesclouds,2,"684.8635235732011,500",
