language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
0.306939019,-0.189048937,1,0,0,0.4664,gr_flag,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,10,5.9034,0.397192383,-0.410066732,1,0,0,next_trial_button,0,30,30,26,1,beach,visiblesun,noclouds,3,"888.8888888888888,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,8,2.1803,0.314287652,-0.405409071,1,0,0,next_trial_button,0,31,31,77,1,landscape,invisiblesun,yesclouds,9,"888.8888888888888,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,8,2.6336,0.432245551,-0.388552517,1,0,0,next_trial_button,0,32,32,55,1,landscape,visiblesun,yesclouds,6,"749.8819083608881,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,9,2.2664,0.318459744,-0.40770128,1,0,0,next_trial_button,0,33,33,19,1,beach,visiblesun,yesclouds,2,"770.1393095093882,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,10,1.8822,0.411064996,-0.403990343,1,0,0,next_trial_button,0,34,34,24,1,beach,invisiblesun,noclouds,3,"750.089190153407,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,10,1.6318,0.429972331,-0.400029839,1,0,0,next_trial_button,0,35,35,14,1,landscape,visiblesun,noclouds,1,"745.9919839679359,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,9,1.8984,0.321875,-0.406643338,1,0,0,next_trial_button,0,36,36,38,1,landscape,visiblesun,noclouds,4,"733.3333333333333,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,10,6.5534,0.416590712,-0.416015625,1,0,0,next_trial_button,0,37,37,35,1,beach,visiblesun,yesclouds,4,"750,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,10,2.6793,0.397797309,-0.396099175,1,0,0,next_trial_button,0,38,38,49,1,beach,invisiblesun,yesclouds,6,"858.4474885844749,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,10,214.5679,0.442990451,-0.386442057,1,0,0,next_trial_button,0,39,39,3,1,beach,visiblesun,yesclouds,0,"1152.5122276567363,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,9,2.8337,0.43186849,-0.402818468,1,0,0,next_trial_button,0,40,40,67,1,beach,visiblesun,yesclouds,8,"748.1481481481482,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,2,2.1957,0.388699002,-0.422181532,1,0,0,next_trial_button,0,41,41,60,1,landscape,invisiblesun,noclouds,7,"666.7268134247564,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,6,2.1487,0.315866428,-0.416986762,1,0,0,next_trial_button,0,42,42,2,1,beach,visiblesun,noclouds,0,"375,500",
,,,,,,,gr,gr,gr,f,23,,2021-09-02_18h18.06.505,online_experiment,2021.1.4,MacIntel,59.95203837,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",1510,1247,2560,1440,,,,,,,,3,10.2406,0.405843099,-0.394889323,1,0,0,next_trial_button,0,43,43,52,1,landscape,invisiblesun,noclouds,6,"666.6666666666666,500",
