language_mouse.x,language_mouse.y,language_mouse.leftButton,language_mouse.midButton,language_mouse.rightButton,language_mouse.time,language_mouse.clicked_name,nationality,mother_tongue,homeland,gender,age,email,date,expName,psychopyVersion,OS,frameRate,cancel_experiment,cancel_reasons,client_agent_information,windowWidth,windowHeight,xRes,yRes,start_exp_mouse.x,start_exp_mouse.y,start_exp_mouse.leftButton,start_exp_mouse.midButton,start_exp_mouse.rightButton,start_exp_mouse.time,start_exp_mouse.clicked_name,rating_slider.response,rating_slider.rt,next_trial_mouse.x,next_trial_mouse.y,next_trial_mouse.leftButton,next_trial_mouse.midButton,next_trial_mouse.rightButton,next_trial_mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,environment,sunVisibility,cloudVisibility,imageId,imgSize,globalClockTime
-0.44,-0.256666667,1,0,0,1.218,de_flag,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,4,1.847,0.342222222,-0.423333333,1,0,0,next_trial_button,0,31,31,42,1,beach,visiblesun,noclouds,5,"834.4594594594595,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,5,1.474,0.466666667,-0.418888889,1,0,0,next_trial_button,0,32,32,66,1,beach,visiblesun,noclouds,8,"1028.5714285714284,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,3,1.513,0.313333333,-0.421111111,1,0,0,next_trial_button,0,33,33,59,1,beach,visiblesun,yesclouds,7,"888.9689978370584,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,6,1.506,0.516666667,-0.423333333,1,0,0,next_trial_button,0,34,34,50,1,beach,visiblesun,noclouds,6,"666.6666666666666,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,3,1.798,0.366666667,-0.396666667,1,0,0,next_trial_button,0,35,35,14,1,landscape,visiblesun,noclouds,1,"745.9919839679359,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,3,1.606,0.507777778,-0.424444444,1,0,0,next_trial_button,0,36,36,13,1,landscape,invisiblesun,yesclouds,1,"783.1192660550458,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,4,1.572,0.362222222,-0.425555556,1,0,0,next_trial_button,0,37,37,35,1,beach,visiblesun,yesclouds,4,"750,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,5,3.246,0.451111111,-0.391111111,1,0,0,next_trial_button,0,38,38,48,1,beach,invisiblesun,noclouds,6,"1028.5714285714284,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,5,2.156,0.321111111,-0.415555556,1,0,0,next_trial_button,0,39,39,4,1,landscape,invisiblesun,noclouds,0,"1276.9171185127807,500",
,,,,,,,de,other,de,m,26,,2021-08-07_12h29.20.382,online_experiment,2021.1.4,MacIntel,58.82352941,FALSE,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15",1440,761,1440,900,,,,,,,,6,1.68,0.427777778,-0.416666667,1,0,0,next_trial_button,0,40,40,61,1,landscape,invisiblesun,yesclouds,7,"500,500",
